Rank,Priority Score,Title,Subscribers,Description (short),Playlister Internal ID,Spotify URL,Contact Type,Contact Detail,Status,Notes,Date Reviewed
63,0.37,Blue Sky Pop,3670,"3,670 subscribers",1887225,,,,Not Reviewed,,
64,0.369,Alt Rock/Indie,3617,"3,617 subscribers",1879419,,,,Not Reviewed,,
65,0.369,Velvet Vibes,3578,"3,578 subscribers",1888557,,,,Not Reviewed,,
66,0.368,Psychedelic Soul Sessions,3556,"3,556 subscribers",1888556,,,,Not Reviewed,,
67,0.366,Best Indie Rock and Pop Unsigned,3338,"3,338 subscribers",1875960,,,,Not Reviewed,,
68,0.365,Chill Lofi Christian Worship,49279,"49,279 subscribers",1885809,,,,Not Reviewed,,
69,0.364,Chill bangers,3204,"3,204 subscribers",1865768,,,,Not Reviewed,,
70,0.362,hardest christian rap ever,3070,"3,070 subscribers",1888706,,,,Not Reviewed,,
71,0.36,Songs That Feel Like Somewhere,2977,"2,977 subscribers",1869871,,,,Not Reviewed,,
72,0.359,South African Indie,2907,"2,907 subscribers",1868691,,,,Not Reviewed,,
73,0.358,Neo-Psychedelia PoP &amp; Indie,39830,"39,830 subscribers",1866864,,,,Not Reviewed,,
74,0.356,New Rock Renaissance,2679,"2,679 subscribers",1875020,,,,Not Reviewed,,
75,0.353,Roadtrip Radio: Alt-Rock Edition,2549,"2,549 subscribers",1873801,,,,Not Reviewed,,
76,0.349,indie twang but it’s actually good,2286,"2,286 subscribers",1887556,,,,Not Reviewed,,
77,0.343,MY FAVOURITE NEW ONES,2020,"2,020 subscribers",1879558,,,,Not Reviewed,,
78,0.309,"Songpickr 2026 - Americana, Retro Soul, Folk, Indie, Rock, Blues, Country",105829,"105,829 subscribers",1878559,,,,Not Reviewed,,
79,0.3,oat milk lattes in the mountains,180581,"180,581 subscribers",1886440,,,,Not Reviewed,,
80,0.297,"shoegaze, alternative indie &amp; rock",159033,"159,033 subscribers",1878177,,,,Not Reviewed,,
81,0.224,Indie Pop &amp; Folk,1724,"1,724 subscribers",1880837,,,,Not Reviewed,,
82,0.209,Indie Folk / Acoustic 2026 🪕,980,980 subscribers,1884164,,,,Not Reviewed,,
83,0.205,Opposite Recommends : Best New Music || Hot New Bands || Best New Indie || Fresh Finds,1997,"1,997 subscribers",1866148,,,,Not Reviewed,,
84,0.204,Wonky Fonk,1898,"1,898 subscribers",1867751,,,,Not Reviewed,,
85,0.203,Canadian Alternative and Indie playlist,1847,"1,847 subscribers",1881233,,,,Not Reviewed,,
86,0.203,Running Playlist - New Indie Updated Weekly,1836,"1,836 subscribers",1879975,,,,Not Reviewed,,
87,0.203,Best New Indie,1793,"1,793 subscribers",1871344,,,,Not Reviewed,,
88,0.202,Alaska Road trip 🌲 🚐 Return To Sender,1777,"1,777 subscribers",1888691,,,,Not Reviewed,,
89,0.202,Christian Electronic Chill Lofi Worship,1730,"1,730 subscribers",1882260,,,,Not Reviewed,,
90,0.201,Alternative Rock,1683,"1,683 subscribers",1875549,,,,Not Reviewed,,
91,0.2,Engagement Gang 💯 on Spotify &amp; YouTube 🤩🥇,1641,"1,641 subscribers",1874768,,,,Not Reviewed,,
92,0.2,Upbeat Indie Alt/Rock,1610,"1,610 subscribers",1877375,,,,Not Reviewed,,
93,0.2,80's Night Drive - 80s Hits,1604,"1,604 subscribers",1879152,,,,Not Reviewed,,
94,0.2,Best of British Indie,1603,"1,603 subscribers",1873585,,,,Not Reviewed,,
95,0.199,Broken Souls Indie 🎸,1600,"1,600 subscribers",1866147,,,,Not Reviewed,,
96,0.198,irish indie,1527,"1,527 subscribers",1867748,,,,Not Reviewed,,
97,0.198,Heady Dance Party (Psychedelic Funk/Jam Bands/Bluegrass/Prog Rock),1509,"1,509 subscribers",1873614,,,,Not Reviewed,,
98,0.196,indie sleaze / blog house / American Apparel core,1421,"1,421 subscribers",1876291,,,,Not Reviewed,,
99,0.196,underground gems 💎,1392,"1,392 subscribers",1885602,,,,Not Reviewed,,
100,0.196,"indie, instrumental and chill",1384,"1,384 subscribers",1877251,,,,Not Reviewed,,
101,0.194,indie pop punk alternative,1303,"1,303 subscribers",1871108,,,,Not Reviewed,,
102,0.194,Night Gems 💎,1301,"1,301 subscribers",1888707,,,,Not Reviewed,,
103,0.193,Hilo de canciones que con audifonos te avientas unos viajesones,1278,"1,278 subscribers",1879559,,,,Not Reviewed,,
104,0.191,Indie,1180,"1,180 subscribers",1877434,,,,Not Reviewed,,
105,0.19,Engagement Gang 💯 on Spotify &amp; YouTube 🤩🥉,1120,"1,120 subscribers",1876289,,,,Not Reviewed,,
106,0.189,underground indie,1086,"1,086 subscribers",1874208,,,,Not Reviewed,,
107,0.188,"we’re rocking, independently.",1066,"1,066 subscribers",1882852,,,,Not Reviewed,,
108,0.188,Radio 1's Indie Show with Jack Saunders,1063,"1,063 subscribers",1871808,,,,Not Reviewed,,
109,0.188,Engagement Gang 💯 on Spotify &amp; YouTube 🤩🥈,1048,"1,048 subscribers",1878096,,,,Not Reviewed,,
110,0.188,Top Dawgs🥇,1039,"1,039 subscribers",1885603,,,,Not Reviewed,,
111,0.187,🪖Bootcamp🔥,1016,"1,016 subscribers",1878066,,,,Not Reviewed,,
112,0.186,VTUBER POP,974,974 subscribers,1885363,,,,Not Reviewed,,
113,0.184,Campfire in the Middle of Nowhere (Chill Indie &amp; Folk),393,393 subscribers,1882287,,,,Not Reviewed,,
114,0.178,New Jewels Indie !,735,735 subscribers,1885263,,,,Not Reviewed,,
115,0.175,Indie: NAS New Release Radar,638,638 subscribers,1878098,,,,Not Reviewed,,
116,0.173,Underground POP,593,593 subscribers,1871687,,,,Not Reviewed,,
117,0.172,Gold Tune,574,574 subscribers,1879013,,,,Not Reviewed,,
118,0.17,Catholic Pop Playlist 2026 (Updated Weekly),547,547 subscribers,1883680,,,,Not Reviewed,,
119,0.168,Actual Indie Rock,499,499 subscribers,1871800,,,,Not Reviewed,,
120,0.166,Play It Loud,469,469 subscribers,1888711,,,,Not Reviewed,,
121,0.161,They Blew My Speakers Again,379,379 subscribers,1871802,,,,Not Reviewed,,
122,0.158,INDIE EXCLUSIVE,344,344 subscribers,1885607,,,,Not Reviewed,,
123,0.157,🎵Max Volume Mega🎵,333,333 subscribers,1886441,,,,Not Reviewed,,
124,0.157,Fresh Indie Rock 2026,328,328 subscribers,1879093,,,,Not Reviewed,,
125,0.156,The Best Of The Week,325,325 subscribers,1867750,,,,Not Reviewed,,
126,0.156,Underdog 🐕‍🦺 Indie Hits🐾,320,320 subscribers,1888704,,,,Not Reviewed,,
127,0.154,Rock Your Socks Off!,301,301 subscribers,1866023,,,,Not Reviewed,,
128,0.154,indie &amp; alt family,296,296 subscribers,1874101,,,,Not Reviewed,,
129,0.153,ARTISTS OF THE WEEK,292,292 subscribers,1866573,,,,Not Reviewed,,
130,0.152,Best Indie Pop 2025 🙌,278,278 subscribers,1876970,,,,Not Reviewed,,
131,0.15,Underdog 🦮 Indie Hits🐾,254,254 subscribers,1883674,,,,Not Reviewed,,
132,0.148,Face Melters,235,235 subscribers,1866532,,,,Not Reviewed,,
133,0.147,FEEDBACK LOOP,232,232 subscribers,1888777,,,,Not Reviewed,,
134,0.147,Gong Bells Spotify 🥁🎸,226,226 subscribers,1871799,,,,Not Reviewed,,
135,0.146,Pump up the volume 2,225,225 subscribers,1871803,,,,Not Reviewed,,
136,0.145,Top Dawgs🥈,216,216 subscribers,1887118,,,,Not Reviewed,,
137,0.145,Easy Listeners,211,211 subscribers,1889139,,,,Not Reviewed,,
138,0.144,Sound Fusions (Underground-Mainstream),203,203 subscribers,1869268,,,,Not Reviewed,,
139,0.142,INDIE ISLAND,189,189 subscribers,1887126,,,,Not Reviewed,,
140,0.14,Alt Rock Indie Hits 🎸🤘,176,176 subscribers,1876975,,,,Not Reviewed,,
141,0.139,Team Specific,171,171 subscribers,1886442,,,,Not Reviewed,,
142,0.139,Massimo´s best INDIE PICKS 👍🎸,171,171 subscribers,1879560,,,,Not Reviewed,,
143,0.139,INDIE POWER,168,168 subscribers,1875552,,,,Not Reviewed,,
144,0.138,"INDIE LEGENDS, Vol. 1",166,166 subscribers,1888713,,,,Not Reviewed,,
145,0.138,Face Melters 2,165,165 subscribers,1875402,,,,Not Reviewed,,
146,0.138,Face Melters 3,165,165 subscribers,1878071,,,,Not Reviewed,,
147,0.136,INDIE REVOLUTION,152,152 subscribers,1887127,,,,Not Reviewed,,
148,0.135,underground indie 3,147,147 subscribers,1874209,,,,Not Reviewed,,
149,0.134,underground indie 2,143,143 subscribers,1874210,,,,Not Reviewed,,
150,0.134,HEART OF MUSIC,143,143 subscribers,1878099,,,,Not Reviewed,,
151,0.134,INDIE UNLIMITED,142,142 subscribers,1871804,,,,Not Reviewed,,
152,0.132,Dyalla's Essentials,132,132 subscribers,1885615,,,,Not Reviewed,,
153,0.132,"INDIE LEGENDS, Vol. 3",130,130 subscribers,1876292,,,,Not Reviewed,,
154,0.132,New Discoveries - Indie Music,130,130 subscribers,1887129,,,,Not Reviewed,,
155,0.131,"INDIE LEGENDS, Vol. 2",127,127 subscribers,1888712,,,,Not Reviewed,,
156,0.129,🎶GREAT VIBE🔥,120,120 subscribers,1874773,,,,Not Reviewed,,
157,0.129,Face Melters 4,116,116 subscribers,1875403,,,,Not Reviewed,,
158,0.128,Specific Picks,114,114 subscribers,1889140,,,,Not Reviewed,,
159,0.127,Power Hits Indie,111,111 subscribers,1874205,,,,Not Reviewed,,
